id,videoId,creator,title,clipPath,startSeconds,endSeconds,momentBucket,roleTag,clipPriority,visualEvidence,whyThisMomentMatters,mumukiReuseNote
7447707169664879915-034,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-04.mp4,38.5,42.0,application_moment,product-like application,4,The creator applies the peel to her chin and jawline area.,"Focuses on specific areas of concern, which helps viewers visualize the product's utility.",Show the ampoule being applied to the jawline to highlight the lifting or brightening effect.
7447707169664879915-035,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-05.mp4,53.0,56.5,result_moment,skin glow / skin payoff,5,"The creator looks directly at the camera with a glowing, hydrated complexion after the treatment.","Provides the 'payoff' shot that validates the efficacy of the ingredient, which is essential for conversion.",Use a similar 'after' shot showing the glowing skin result after using the MUMUKI ampoule.
7459763407668006152-037,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-02.mp4,3.0,6.0,application_moment,visual-demonstration,2,The creator rubs the inside of a banana peel directly onto his cheek and forehead.,Direct application of the ingredient to the skin is the core visual hook that validates the DIY skincare angle.,Show the texture of the Honey Banana ampoule being applied to the skin in a similar motion to emphasize the 'banana' benefit.
7459763407668006152-038,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-03.mp4,6.0,11.0,application_moment,visual-demonstration,3,"The creator continues rubbing the banana peel across his nose, chin, and jawline.","Shows the versatility of the ingredient across different facial zones, reinforcing the 'tightening' claim.",Demonstrate the ampoule being massaged into the same facial zones to show ease of use.
7459763407668006152-040,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-05.mp4,19.0,26.0,payoff_moment,result-showcase,5,"The creator wipes his face with a tissue and then touches his skin, showing a glowing, smooth texture.",The 'after' shot is essential to prove the efficacy of the ingredient and satisfy the viewer's desire for results.,Show the 'glow' payoff after applying the Honey Banana ampoule to demonstrate the product's immediate effect.
7545915943940050231-041,7545915943940050231,@jaimesskin,Manuka Honey Face Mask,../content/visual-hook-mining/clips/jaimesskin__manuka-honey-face-mask__7545915943940050231_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"Close-up of the creator's face completely covered in a thick, golden, sticky honey mask, holding a wooden spoon with honey.","The immediate visual of a thick, sticky, golden mask on the face is highly arresting and signals a DIY skincare routine.","Use this as a high-impact hook for the MUMUKI ampoule, showing the product texture being applied similarly."
7555933284388146454-046,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-01.mp4,0.0,2.5,hook_moment,stop-power,1,"The creator shows a split-screen comparison of her skin with acne (before) and her current clear, glowing skin.",The dramatic before-and-after transformation immediately establishes credibility and high stakes for the viewer.,Use a similar split-screen format to show the immediate soothing effect of the MUMUKI ampoule on irritated skin.
7555933284388146454-047,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-02.mp4,4.5,7.5,product_application,visual-satisfaction,2,"The creator uses a small spatula to drizzle thick, golden honey directly onto her cheek.","The viscous, golden texture of the honey is visually satisfying and highlights the raw ingredient focus.","Replicate this 'drip' shot with the MUMUKI ampoule to emphasize its rich, concentrated texture."
7555933284388146454-048,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-03.mp4,7.5,10.0,product_application,visual-satisfaction,3,"The creator spreads the honey across her face with her fingers, creating a glossy, reflective layer.",Shows the product coverage and the immediate 'glow' effect on the skin.,"Show the application of the ampoule to demonstrate how it leaves a non-sticky, healthy glow."
7555933284388146454-049,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-04.mp4,10.0,12.5,product_application,visual-satisfaction,4,Close-up of the creator massaging the honey into her skin with both hands.,"The massage motion implies a self-care ritual, which is highly engaging for skincare audiences.",Use a close-up of the massage technique to highlight the absorption and soothing properties of the ampoule.
7555933284388146454-050,7555933284388146454,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-05.mp4,12.5,14.6,result_moment,payoff,5,"The creator poses with her face fully coated in honey, looking directly at the camera with a confident expression.",Final shot reinforces the 'DIY skincare' aesthetic and the confidence gained from the routine.,End with a 'glowing skin' reveal after using the MUMUKI ampoule to show the final result.
7561970033195257101-051,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-01.mp4,0.0,3.5,hook_moment,stop-power,1,"The creator holds a banana peel directly in front of the camera, showing the inside of the peel.",The immediate visual of a banana peel combined with the bold claim of 'natural botox' creates high curiosity and stop-power.,Can be adapted by showing the MUMUKI Honey Banana BDRN Ampoule bottle next to a fresh banana to establish the ingredient connection immediately.
7561970033195257101-052,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-02.mp4,12.5,16.0,application_moment,visual-demonstration,2,The creator rubs the inside of the banana peel directly onto her cheek and under-eye area.,"Shows the direct application of the ingredient to the skin, which is a highly engaging 'DIY' visual.",Replace the banana peel with the application of the MUMUKI Ampoule to show the product being applied to the same facial zones.
7561970033195257101-053,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-03.mp4,18.5,21.0,application_moment,visual-demonstration,3,"The creator rubs the banana peel across her forehead, demonstrating a full-face application technique.",Demonstrates the ease of use and the 'skincare routine' aspect of the ingredient.,"Use this as a reference for the 'application flow' of the MUMUKI Ampoule, showing a smooth, satisfying application motion."
7561970033195257101-054,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-04.mp4,45.5,49.0,payoff_moment,skin-glow,4,"The creator applies the product to her face and pats it in, showing her skin looking hydrated and glowing.","Provides the 'payoff' or result of the skincare routine, which is essential for conversion.",Directly mirror this shot with the MUMUKI Ampoule to showcase the 'instant glow' benefit of the product.
7579824086315011359-056,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-01.mp4,0.0,4.0,hook_moment,stop-power,1,"A woman is applying a thick, golden honey mask onto her face using a spoon, with visible acne spots on her skin.","The immediate visual of applying a sticky, natural ingredient directly to the face creates high curiosity and 'gross-but-satisfying' appeal.","Use this as a direct hook for the MUMUKI ampoule application, showing the texture being spread on the skin."
7579824086315011359-057,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-02.mp4,6.0,9.0,texture_shot,sensory-appeal,2,"Close-up of a honey dipper dripping thick, golden raw honey.",High-quality texture shots of natural ingredients are visually satisfying and build trust in the product's purity.,Create a similar high-definition macro shot of the MUMUKI ampoule texture to emphasize its richness.
7579824086315011359-058,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-03.mp4,24.0,27.0,application_shot,product-application,3,"A woman gently massaging a white, creamy substance into her skin with her fingertips.","Shows the tactile experience of skincare application, which is essential for demonstrating the 'ritual' aspect of using an ampoule.",Replicate this exact massage technique with the MUMUKI ampoule to show how it absorbs into the skin.
7579824086315011359-059,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-04.mp4,27.0,30.0,payoff_shot,skin-glow,4,"Close-up of a woman's face showing a dewy, glowing complexion after the skincare routine.",The 'glow' payoff is the ultimate goal for the viewer and provides the necessary social proof for the skincare routine.,Use this as the 'after' result shot to showcase the immediate radiance provided by the MUMUKI ampoule.
7593798567966297355-061,7593798567966297355,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-01.mp4,0.0,3.5,hook_moment,stop-power,1,Honey is being poured directly from a bottle onto the center of the creator's forehead.,"The immediate, messy, and satisfying visual of pouring honey directly onto the face is a high-retention hook.","Use this as a 'texture hook' to show the richness of the MUMUKI ampoule, replacing honey with the product texture."
7593798567966297355-062,7593798567966297355,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-02.mp4,3.5,6.0,action_moment,visual-engagement,4,"The honey drips down the creator's nose and she licks it off, showing the raw nature of the ingredient.",The interaction with the ingredient makes the DIY process feel authentic and relatable.,"Not reusable as is, but the 'drip' visual can be adapted to show the ampoule's viscosity."
7593798567966297355-063,7593798567966297355,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-03.mp4,6.5,10.0,application_moment,product-application,2,"The creator uses her fingers to spread the thick, sticky honey across her entire face.","Shows the full coverage application process, which is essential for skincare tutorials.",Replicate this application motion with the MUMUKI ampoule to demonstrate ease of spread and coverage.
7593798567966297355-064,7593798567966297355,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-04.mp4,13.5,17.18,payoff_moment,skin-glow,3,"The creator points to her cheek, highlighting the glossy, hydrated, and glowing finish of her skin.",This is the 'payoff' that justifies the entire process; it proves the 'glow' result.,Essential for the 'After' shot of the MUMUKI ampoule to show the immediate skin radiance.
7603074530570980638-065,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-01.mp4,34.0,37.0,application_moment,product-like application,1,"A brush is applying a thick, golden, honey-like mask onto a person's face.","Demonstrates the satisfying, luxurious application of a honey-based mask, which is highly relevant to the MUMUKI product texture.",Use this as a direct visual reference for how to showcase the texture and application of the MUMUKI Honey Banana BDRN Ampoule.
7603074530570980638-066,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-02.mp4,25.0,29.0,texture_moment,honey texture / sticky texture,2,"Honey is being poured from a spoon into a glass container, showing its viscous, golden texture.","Visualizes the key ingredient (honey) in a way that emphasizes its premium, sticky, and nourishing quality.",Can be used as a B-roll shot to highlight the honey ingredient in the MUMUKI formula.
7603074530570980638-067,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-03.mp4,43.0,46.0,application_moment,face close-up,3,"Close-up of the mask being smoothed over the skin, showing the texture and coverage.","Shows the product sitting on the skin, which helps the viewer visualize the skincare experience.",Good for demonstrating the 'masking' or 'treatment' aspect of the ampoule.
7615701080982211853-070,7615701080982211853,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-01.mp4,0.0,2.5,hook_moment,stop-power,1,"The creator is applying a thick, bright yellow paste onto her face with a brush, covering her entire face.",The high-contrast yellow color and the immediate application create a strong visual hook that stops the scroll.,Use this as a direct visual hook for the MUMUKI ampoule application to show texture and coverage.
7615701080982211853-071,7615701080982211853,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-02.mp4,2.5,5.0,product_application,texture-demonstration,2,"Close-up of the brush spreading the smooth, thick yellow paste across the cheek and forehead.","Demonstrates the satisfying, smooth texture of the DIY mask, which is highly relevant to the texture of an ampoule.",Show the MUMUKI ampoule being spread on the skin in a similar close-up to highlight its consistency.
7615701080982211853-072,7615701080982211853,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-03.mp4,5.0,7.5,product_application,satisfying-application,3,The creator is carefully applying the mask around the nose and mouth area with a brush.,The precision application is visually satisfying and mimics the professional application of skincare products.,Use this to show the precision application of the MUMUKI ampoule around targeted areas.
7615701080982211853-073,7615701080982211853,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-04.mp4,7.5,9.9,result_moment,skin-payoff,4,"The creator touches her clean, glowing skin, showing the final result after the mask.",Provides the 'payoff' or the desired outcome that viewers are looking for in skincare content.,Show the 'after' glow of the skin after using the MUMUKI ampoule to prove efficacy.
7618385031932808462-074,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-01.mp4,0.0,2.5,hook_moment,stop-power,1,"Close-up of a spoon lifting a thick, viscous, golden honey from a jar, creating a long, slow drip.","The extreme close-up and the satisfying, thick texture of the honey immediately grab attention.",Use a similar close-up shot of the honey-infused ampoule texture to demonstrate its richness and quality.
7618385031932808462-075,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-02.mp4,12.0,14.5,texture_demonstration,texture-appeal,2,"The creator holds the jar up to the camera, showing the honey dripping slowly off the spoon.","Highlights the premium, raw, and natural quality of the ingredient.",Show the ampoule's texture dripping from a dropper to emphasize its concentrated formula.
7618385031932808462-077,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-04.mp4,29.5,32.0,texture_demonstration,texture-appeal,4,"The creator holds the spoon with the honey dripping down, focusing on the slow, continuous flow.",The slow-motion effect of the honey flow is visually hypnotic and emphasizes purity.,Create a slow-motion shot of the ampoule serum dripping to convey a sense of luxury and potency.
7621189679148272928-079,7621189679148272928,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator holds two halves of a frozen, dark-spotted banana directly in front of the camera.",The visual of a frozen banana used for skincare is highly unconventional and immediately grabs attention.,Use a similar 'What is this?' opening shot with the MUMUKI ampoule to create curiosity.
7621189679148272928-080,7621189679148272928,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-02.mp4,3.5,6.5,application_moment,visual-action,2,The creator rubs the frozen banana halves along his jawline in a lifting motion.,"Demonstrates a clear, actionable 'hack' that viewers can mimic, proving the interest in DIY banana skincare.",Show the application of the MUMUKI ampoule using a similar upward lifting motion on the jawline.
7621189679148272928-081,7621189679148272928,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-03.mp4,10.5,13.0,application_moment,visual-action,3,The creator rubs the flat surface of the frozen banana directly onto his cheek.,Direct skin contact with the ingredient highlights the 'skincare' aspect of the hack.,Show the ampoule being applied directly to the cheek to emphasize hydration.
7621189679148272928-082,7621189679148272928,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-04.mp4,17.0,20.0,application_moment,visual-action,4,The creator presses the frozen banana halves under his eyes.,Targets a specific pain point (dark circles) with a simple visual action.,Show the ampoule being tapped gently under the eyes to address dark circles.
7621189679148272928-083,7621189679148272928,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-05.mp4,26.5,29.5,application_moment,visual-action,5,The creator rubs the banana on his neck in an upward motion.,"Focuses on the 'glow' result, which is a key benefit for skincare products.",Show the ampoule being applied to the neck to demonstrate the 'glow' effect.
7627186004625018134-084,7627186004625018134,@zack.chug,Banana vs t0x Hook,../content/visual-hook-mining/clips/zack-chug__banana-vs-t0x-hook__7627186004625018134_v3_31flashlite/beat-01.mp4,6.5,9.0,hook_moment,stop-power,1,"The creator is aggressively rubbing a banana peel directly onto his face, with mashed banana residue sticking to his skin.","High visual shock value; immediately establishes the DIY skincare angle with a relatable, slightly messy action.","Use this as a 'don't do this, do this instead' transition to introduce the MUMUKI ampoule as a cleaner, more effective alternative."
