video_id,creator,title,local_video,clip_path,start_seconds,end_seconds,moment_bucket,role_tag,clip_priority,visual_evidence,on_screen_text,spoken_evidence,why_this_moment_matters,mumuki_reuse_note
7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-sheenaanayaaa-7331862916603612462.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator holds two banana peels up to the camera, framing her face.",,"Hey guys, let's try the banana peel facial that's super trendy right now.",Immediate visual curiosity about using food for skincare.,Use a similar framing with the MUMUKI product to establish the ingredient focus immediately.
7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-sheenaanayaaa-7331862916603612462.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-02.mp4,5.0,8.0,application_moment,visual-action,2,The creator rubs the inside of a banana peel directly onto her cheek and jawline.,,,Demonstrates the 'DIY' application method that viewers find intriguing.,Show the application of the MUMUKI ampoule in a similar sweeping motion to emphasize texture and coverage.
7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-sheenaanayaaa-7331862916603612462.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-03.mp4,10.5,13.5,application_moment,visual-action,3,The creator places pieces of banana peel under her eyes like eye patches.,,,Creates a 'skincare hack' visual that is highly shareable.,Show the ampoule being applied to the under-eye area to highlight its targeted benefits.
7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-sheenaanayaaa-7331862916603612462.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-04.mp4,16.0,19.0,process_moment,visual-action,4,The creator has multiple pieces of banana peel stuck to her face as a mask.,,,Strong visual impact of a 'DIY mask' that stops the scroll.,"Show the ampoule applied as a thick, nourishing layer to mimic the 'mask' effect."
7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-sheenaanayaaa-7331862916603612462.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-05.mp4,26.5,29.5,result_moment,skin-payoff,5,"Close-up of the creator's face showing smooth, glowing skin after the process.",,My skin is feeling super smooth.,Provides the 'proof' that the skincare routine works.,Show a close-up of skin after applying the MUMUKI ampoule to highlight the glow and texture improvement.
7355150760293747998,@katiejanehughes,Banana Skin Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-katiejanehughes-7355150760293747998.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-01.mp4,0.0,4.0,hook_moment,stop-power,1,The creator is rubbing the inside of a banana peel directly onto her cheek.,apparently if you rub banana skin on your face it gives you a natural Botox effect,"apparently if you rub banana skin on your face, it gives you a natural Botox effect",The unconventional use of a common food item as skincare creates immediate curiosity and stop-power.,Use this as a hook for the MUMUKI Honey Banana BDRN Ampoule by showing the product being applied in a similar motion to emphasize the 'natural' ingredient benefit.
7355150760293747998,@katiejanehughes,Banana Skin Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-katiejanehughes-7355150760293747998.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-02.mp4,17.0,20.0,application_demonstration,product-like application,2,Close-up of the creator rubbing the banana peel on one side of her face.,anyway I'm only gonna do half of my face just to see,anyway I'm only gonna do half of my face just to see,"The 'half-face' experiment is a classic, highly effective visual trope for demonstrating product efficacy.",Replicate the half-face application test with the MUMUKI ampoule to visually prove the glow/tightening effect.
7355150760293747998,@katiejanehughes,Banana Skin Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-katiejanehughes-7355150760293747998.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-03.mp4,54.5,57.0,application_demonstration,sensory-experience,3,"Close-up of the creator rubbing the peel on her cheek, showing the texture and the way it glides on the skin.",,it feels really nice,"Focuses on the sensory experience of the application, which is crucial for skincare marketing.",Capture the texture of the MUMUKI ampoule as it glides on the skin to mimic this satisfying application feel.
7355150760293747998,@katiejanehughes,Banana Skin Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-katiejanehughes-7355150760293747998.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-04.mp4,85.83,87.83,result_demonstration,skin glow / skin payoff,4,"The creator touches her skin, showing the texture and tightness after the application.",alright so my skin feels quite tight and like at you you need to do it to feel it,my skin feels quite tight,Provides a direct testimonial and visual check of the skin's condition after the treatment.,Show the 'tight' and 'glowing' skin result after using the MUMUKI ampoule to validate the product's claims.
7355150760293747998,@katiejanehughes,Banana Skin Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-katiejanehughes-7355150760293747998.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-05.mp4,85.83,87.83,result_demonstration,before-after,5,"The creator points to her pores on the treated side versus the untreated side, highlighting the difference.",so my skin is very soft my pores are a little bit smaller on the side than the other side,my pores are a little bit smaller on the side than the other side,Clear visual comparison that provides social proof of the ingredient's effectiveness.,Use a split-screen comparison of the MUMUKI ampoule side vs. bare skin to highlight pore refinement and glow.
7427159569874390315,@duoheadspa,Banana Fruit Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-duoheadspa-7427159569874390315.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-01.mp4,0.0,2.0,hook_moment,stop-power,1,"A close-up of a person's face completely covered in thin, circular slices of banana.",,,The bizarre and visually striking image of a face covered in banana slices creates immediate curiosity and 'stop-scrolling' effect.,"Use as a visual hook to contrast the 'messy DIY' approach with the clean, professional application of the MUMUKI Honey Banana BDRN Ampoule."
7427159569874390315,@duoheadspa,Banana Fruit Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-duoheadspa-7427159569874390315.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-02.mp4,2.0,4.5,application_moment,texture-focus,2,"Two brushes applying a thick, white, creamy substance onto the person's face.",,,"Shows the satisfying, professional application of a skincare product, which is highly relevant to the ampoule format.","Can be used to demonstrate the smooth, luxurious application of the MUMUKI ampoule."
7427159569874390315,@duoheadspa,Banana Fruit Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-duoheadspa-7427159569874390315.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-03.mp4,5.0,7.5,massage_moment,sensory-experience,3,A professional aesthetician performing a facial massage on the client's face with both hands.,,,"Highlights the relaxing, spa-like experience associated with skincare routines.",Use to emphasize the self-care aspect of using the MUMUKI ampoule.
7427159569874390315,@duoheadspa,Banana Fruit Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-duoheadspa-7427159569874390315.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-04.mp4,9.5,12.0,application_moment,ingredient-focus,4,"Hands placing individual banana slices onto the face, reinforcing the DIY banana theme.",,,"Directly links the ingredient (banana) to the skin, validating the interest in banana-based skincare.","Transition from this to a close-up of the MUMUKI ampoule texture to show a more effective, modern alternative to raw fruit."
7427159569874390315,@duoheadspa,Banana Fruit Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-duoheadspa-7427159569874390315.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-05.mp4,13.0,16.0,result_moment,skin-payoff,5,"A towel being wiped off the face, revealing clean, glowing, and refreshed skin.",,,"The 'reveal' is the most important part of any skincare video, showing the final skin payoff.",Use as the 'after' shot to show the glowing skin results achievable with the MUMUKI ampoule.
7446093862952815918,@tenishaward1,Honey Comb Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-tenishaward1-7446093862952815918.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator is holding a large piece of raw honeycomb and squeezing it directly onto her forehead, with honey dripping down her face.",,,"The raw, messy, and tactile nature of squeezing honeycomb directly onto the face creates an immediate 'what is she doing?' curiosity gap.","Use this as a high-impact hook by showing the rich, viscous texture of the MUMUKI ampoule being applied in a similar close-up, satisfying way."
7446093862952815918,@tenishaward1,Honey Comb Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-tenishaward1-7446093862952815918.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-02.mp4,3.0,6.0,ingredient_texture,texture-focus,2,"Close-up of honey dripping and spreading across the creator's face, showing the sticky, thick consistency.",,,"Highlights the sensory appeal of honey as a skincare ingredient, which is a key selling point for the ampoule.",Showcase the ampoule's texture in a similar macro shot to emphasize its richness and quality.
7446093862952815918,@tenishaward1,Honey Comb Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-tenishaward1-7446093862952815918.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-03.mp4,8.0,11.0,application_process,application-demo,3,"The creator is massaging the honey into her skin with both hands, showing the full coverage of the DIY mask.",,,"Demonstrates the ritualistic aspect of skincare application, which viewers find relaxing and satisfying to watch.",Replicate this massage motion with the MUMUKI ampoule to show how it absorbs or glides on the skin.
7446093862952815918,@tenishaward1,Honey Comb Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-tenishaward1-7446093862952815918.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-04.mp4,12.0,15.0,skin_payoff,result-focus,4,"The creator shows her face after the mask, highlighting a natural, dewy glow.",,,"Provides the 'payoff' that justifies the messy process, proving that the ingredient leads to visible skin improvement.",Use this as the 'after' shot to demonstrate the glow provided by the MUMUKI ampoule.
7446093862952815918,@tenishaward1,Honey Comb Facial,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-tenishaward1-7446093862952815918.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-05.mp4,15.0,17.6,skin_payoff,result-focus,5,"Close-up of the creator smiling and touching her glowing, hydrated skin.",,,The final result shot confirms the effectiveness of the honey-based skincare routine.,Use this as a closing shot to show the final skin texture achieved after using the MUMUKI product.
7447707169664879915,@byzareefa,Banana Peel DIY Mask,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-byzareefa-7447707169664879915.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-01.mp4,1.5,4.5,hook_moment,stop-power,1,"The creator holds up a banana peel directly to the camera, showing the inside texture.",,All you need is a banana peel.,"The direct, close-up reveal of the ingredient creates immediate curiosity and visual intrigue.",Use a similar close-up shot of the MUMUKI ampoule or a honey-infused texture to hook the viewer immediately.
7447707169664879915,@byzareefa,Banana Peel DIY Mask,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-byzareefa-7447707169664879915.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-02.mp4,11.0,14.5,application_moment,product-like application,2,The creator rubs the inside of the banana peel directly onto her cheek.,,,"Demonstrates the 'DIY skincare' action clearly, which is highly engaging for viewers interested in natural beauty hacks.",Replace the banana peel with the application of the MUMUKI ampoule to show the product being massaged into the skin.
7447707169664879915,@byzareefa,Banana Peel DIY Mask,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-byzareefa-7447707169664879915.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-03.mp4,28.5,31.5,application_moment,product-like application,3,The creator rubs the banana peel across her forehead and brow area.,,,"Shows the versatility of the application on different facial zones, reinforcing the 'skincare routine' aspect.",Show the product being applied to the forehead to demonstrate ease of use and coverage.
7447707169664879915,@byzareefa,Banana Peel DIY Mask,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-byzareefa-7447707169664879915.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-04.mp4,38.5,42.0,application_moment,product-like application,4,The creator applies the peel to her chin and jawline area.,,,"Focuses on specific areas of concern, which helps viewers visualize the product's utility.",Show the ampoule being applied to the jawline to highlight the lifting or brightening effect.
7447707169664879915,@byzareefa,Banana Peel DIY Mask,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-byzareefa-7447707169664879915.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-05.mp4,53.0,56.5,result_moment,skin glow / skin payoff,5,"The creator looks directly at the camera with a glowing, hydrated complexion after the treatment.",,I can promise you you're not going to need Botox.,"Provides the 'payoff' shot that validates the efficacy of the ingredient, which is essential for conversion.",Use a similar 'after' shot showing the glowing skin result after using the MUMUKI ampoule.
7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-kevinnkylee-7459763407668006152.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator holds a whole banana directly in front of the camera, then begins peeling it.",Skincare hack to tighten your skin!,,The immediate visual of a raw food item being used for skincare creates a 'what is he doing?' curiosity gap.,Use a similar close-up of the Honey Banana BDRN Ampoule or a banana slice to immediately signal the ingredient focus.
7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-kevinnkylee-7459763407668006152.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-02.mp4,3.0,6.0,application_moment,visual-demonstration,2,The creator rubs the inside of a banana peel directly onto his cheek and forehead.,Skincare hack to tighten your skin!,,Direct application of the ingredient to the skin is the core visual hook that validates the DIY skincare angle.,Show the texture of the Honey Banana ampoule being applied to the skin in a similar motion to emphasize the 'banana' benefit.
