id,videoId,creator,title,clipPath,startSeconds,endSeconds,momentBucket,roleTag,clipPriority,visualEvidence,whyThisMomentMatters,mumukiReuseNote
7459763407668006152-036,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator holds a whole banana directly in front of the camera, then begins peeling it.",The immediate visual of a raw food item being used for skincare creates a 'what is he doing?' curiosity gap.,Use a similar close-up of the Honey Banana BDRN Ampoule or a banana slice to immediately signal the ingredient focus.
7459763407668006152-039,7459763407668006152,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-04.mp4,13.0,16.0,application_moment,visual-demonstration,4,The creator rubs the banana peel along his neck and jawline.,"The neck application is a common pain point for 'tightening' concerns, making it highly relevant for anti-aging products.",Highlight the neck application of the ampoule to suggest a comprehensive tightening routine.
7545915943940050231-044,7545915943940050231,@jaimesskin,Manuka Honey Face Mask,../content/visual-hook-mining/clips/jaimesskin__manuka-honey-face-mask__7545915943940050231_v3_31flashlite/beat-04.mp4,54.5,57.5,application_shot,skin glow,4,"Creator is massaging the honey into her skin with both hands, showing the high-gloss, reflective finish on her face.",The 'glass skin' glow is the ultimate payoff for skincare videos and directly correlates to the desired result of the MUMUKI ampoule.,Use this to showcase the immediate 'glow' effect of the MUMUKI ampoule after application.
7545915943940050231-045,7545915943940050231,@jaimesskin,Manuka Honey Face Mask,../content/visual-hook-mining/clips/jaimesskin__manuka-honey-face-mask__7545915943940050231_v3_31flashlite/beat-05.mp4,10.0,12.0,application_shot,skin payoff,5,"Creator is rubbing her face with her fingers, showing the thick, sticky texture of the mask on her skin.","Shows the physical interaction with the product, emphasizing the 'peeling' or 'renewing' sensation.",Can be used to demonstrate the massage technique for the MUMUKI ampoule to enhance absorption.
7561970033195257101-055,7561970033195257101,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-05.mp4,52.0,55.0,payoff_moment,skin-glow,5,"Close-up of the creator's face showing the final, dewy, and hydrated skin texture after the routine.",The final 'glow' shot is the ultimate proof of efficacy that viewers look for in skincare content.,Use this as the final 'result' shot in the MUMUKI video to emphasize the product's hydrating and brightening effects.
7579824086315011359-060,7579824086315011359,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-05.mp4,38.0,44.0,testimonial_shot,social-proof,5,"A woman touching her face and smiling, looking at the camera with clear, healthy-looking skin.",Real-person testimonials regarding skin texture and redness reduction are highly persuasive for skincare buyers.,Film a similar 'morning after' reaction video using the MUMUKI ampoule to highlight its soothing properties.
7603074530570980638-068,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-04.mp4,55.5,58.5,payoff_moment,skin glow / skin payoff,4,"A person with glowing, radiant skin is shown next to the banana character holding a coconut.","Provides the 'after' result, which is crucial for proving the efficacy of the skincare routine.",Use this as the 'result' shot to show the skin benefits of using the MUMUKI ampoule.
7603074530570980638-069,7603074530570980638,@bithhnh387,Frozen Banana Skincare,../content/visual-hook-mining/clips/bithhnh387__frozen-banana-skincare__7603074530570980638_v3_31flashlite/beat-05.mp4,16.0,19.0,diy_moment,DIY skincare mess,5,Banana peels are being stirred in a pot of boiling water.,"Shows the 'DIY' process, which is a popular content angle that drives curiosity.",Can be used to contrast the 'messy DIY' process with the 'convenience and efficacy' of the ready-to-use MUMUKI ampoule.
7618385031932808462-076,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-03.mp4,15.0,17.5,texture_demonstration,texture-appeal,3,"Extreme close-up of the honey being stirred in the jar, showing its thick, golden, and sticky consistency.","Visualizes the 'medical grade' quality through texture, which is highly satisfying to watch.",Use a macro shot of the ampoule being swirled to highlight the honey-banana blend's viscosity.
7618385031932808462-078,7618385031932808462,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-05.mp4,33.0,35.5,hook_moment,stop-power,5,"Another angle of the honey dripping from the spoon, highlighting the golden color and clarity.",Strong visual hook combined with a 'hack' claim that drives curiosity.,Use this as a B-roll to support a 'skincare hack' claim for the ampoule.
7627186004625018134-088,7627186004625018134,@zack.chug,Banana vs t0x Hook,../content/visual-hook-mining/clips/zack-chug__banana-vs-t0x-hook__7627186004625018134_v3_31flashlite/beat-05.mp4,42.5,45.0,product_application,texture-shot,5,"The creator peels a thick, mask-like layer of residue off his face, revealing the skin underneath.",The 'peel-off' visual is a classic skincare trope that guarantees high retention.,"Use this as a satisfying 'reveal' moment after applying the MUMUKI ampoule to show a glowing, clean complexion."
7355150760293747998-019,7355150760293747998,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-04.mp4,85.83,87.83,result_demonstration,skin glow / skin payoff,4,"The creator touches her skin, showing the texture and tightness after the application.",Provides a direct testimonial and visual check of the skin's condition after the treatment.,Show the 'tight' and 'glowing' skin result after using the MUMUKI ampoule to validate the product's claims.
7427159569874390315-022,7427159569874390315,@duoheadspa,Banana Fruit Facial,../content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-02.mp4,2.0,4.5,application_moment,texture-focus,2,"Two brushes applying a thick, white, creamy substance onto the person's face.","Shows the satisfying, professional application of a skincare product, which is highly relevant to the ampoule format.","Can be used to demonstrate the smooth, luxurious application of the MUMUKI ampoule."
7427159569874390315-023,7427159569874390315,@duoheadspa,Banana Fruit Facial,../content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-03.mp4,5.0,7.5,massage_moment,sensory-experience,3,A professional aesthetician performing a facial massage on the client's face with both hands.,"Highlights the relaxing, spa-like experience associated with skincare routines.",Use to emphasize the self-care aspect of using the MUMUKI ampoule.
7545915943940050231-042,7545915943940050231,@jaimesskin,Manuka Honey Face Mask,../content/visual-hook-mining/clips/jaimesskin__manuka-honey-face-mask__7545915943940050231_v3_31flashlite/beat-02.mp4,12.5,15.0,texture_shot,texture-appeal,2,"Close-up of the wooden spoon dripping with thick, viscous manuka honey.","Highlights the premium, sticky, and rich texture of the ingredient, which is essential for selling a honey-based product.",Create a similar macro shot of the MUMUKI ampoule texture to emphasize its richness and quality.
7545915943940050231-043,7545915943940050231,@jaimesskin,Manuka Honey Face Mask,../content/visual-hook-mining/clips/jaimesskin__manuka-honey-face-mask__7545915943940050231_v3_31flashlite/beat-03.mp4,43.0,45.5,application_shot,product-like application,3,"Creator uses her fingers to spread the thick honey mask across her cheek, showing the sticky, glowing texture.","Demonstrates the tactile experience of applying a sticky, honey-based product, which is very satisfying to watch.",Film a similar application shot of the MUMUKI ampoule to show how it glides and adheres to the skin.
7627186004625018134-085,7627186004625018134,@zack.chug,Banana vs t0x Hook,../content/visual-hook-mining/clips/zack-chug__banana-vs-t0x-hook__7627186004625018134_v3_31flashlite/beat-02.mp4,17.0,19.5,product_application,texture-shot,2,"The creator pulls a thick, gooey, skin-like substance (representing the banana extract) away from his face, showing its sticky, viscous texture.",The texture shot is highly satisfying and visually mimics the viscosity of a high-quality ampoule.,Replace the DIY mess with a close-up of the MUMUKI ampoule's texture being applied to the skin to highlight its premium consistency.
7627186004625018134-086,7627186004625018134,@zack.chug,Banana vs t0x Hook,../content/visual-hook-mining/clips/zack-chug__banana-vs-t0x-hook__7627186004625018134_v3_31flashlite/beat-03.mp4,26.5,29.5,product_application,texture-shot,3,"Close-up of the creator holding a thick, yellow, fibrous banana mash between his fingers, stretching it to show elasticity.","Focuses on the 'moisture' benefit through a tactile, visual demonstration.",Use this to demonstrate the hydrating properties of the MUMUKI ampoule by showing the product's 'stretch' and absorption on the skin.
7627186004625018134-087,7627186004625018134,@zack.chug,Banana vs t0x Hook,../content/visual-hook-mining/clips/zack-chug__banana-vs-t0x-hook__7627186004625018134_v3_31flashlite/beat-04.mp4,35.5,38.5,product_application,application-shot,4,"The creator is applying a piece of banana directly to his forehead and cheek, then wiping it off with a tissue to reveal the skin underneath.","Shows the 'exfoliation' benefit in a very direct, DIY way that viewers find intriguing.","Transition from the messy DIY wipe to a clean, professional wipe-off of the MUMUKI ampoule to show immediate skin brightening."
