group_id,group_title,id,creator,title,clipPath,startSeconds,endSeconds,clipPriority,visualEvidence
honey-drip-texture,Honey Drip Texture,7593798567966297355-064,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-04.mp4,13.5,17.18,3,"The creator points to her cheek, highlighting the glossy, hydrated, and glowing finish of her skin."
honey-drip-texture,Honey Drip Texture,7446093862952815918-029,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-04.mp4,12.0,15.0,4,"The creator shows her face after the mask, highlighting a natural, dewy glow."
honey-drip-texture,Honey Drip Texture,7593798567966297355-062,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-02.mp4,3.5,6.0,4,"The honey drips down the creator's nose and she licks it off, showing the raw nature of the ingredient."
honey-drip-texture,Honey Drip Texture,7555933284388146454-047,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-02.mp4,4.5,7.5,2,"The creator uses a small spatula to drizzle thick, golden honey directly onto her cheek."
honey-drip-texture,Honey Drip Texture,7555933284388146454-048,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-03.mp4,7.5,10.0,3,"The creator spreads the honey across her face with her fingers, creating a glossy, reflective layer."
frozen-banana-tool,Frozen Banana Tool,7621189679148272928-079,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-01.mp4,0.0,3.0,1,"The creator holds two halves of a frozen, dark-spotted banana directly in front of the camera."
frozen-banana-tool,Frozen Banana Tool,7621189679148272928-080,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-02.mp4,3.5,6.5,2,The creator rubs the frozen banana halves along his jawline in a lifting motion.
frozen-banana-tool,Frozen Banana Tool,7621189679148272928-081,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-03.mp4,10.5,13.0,3,The creator rubs the flat surface of the frozen banana directly onto his cheek.
frozen-banana-tool,Frozen Banana Tool,7621189679148272928-082,@iamedsonbrandao,Frozen Banana Lift Hack,../content/visual-hook-mining/clips/iamedsonbrandao__frozen-banana-lift-hack__7621189679148272928_v3_31flashlite/beat-04.mp4,17.0,20.0,4,The creator presses the frozen banana halves under his eyes.
before-after-proof,Before / After Proof,7555933284388146454-046,@kriziaraso,Honey Facial Glow,../content/visual-hook-mining/clips/kriziaraso__honey-facial-glow__7555933284388146454_v3_31flashlite/beat-01.mp4,0.0,2.5,1,"The creator shows a split-screen comparison of her skin with acne (before) and her current clear, glowing skin."
